ID,Name,Text,Field (4 thematics),Keywords,type,Illustration source,Other names or spelling,Aspects (other gods that can change into or him/her or share similar domains)
acuecucyoticihuati,Acuecucyoticihuati,"Aquatic nagual of Chalchiuhtlicue. Goddess of the running water in rivers, streams and waves on the beach. Women in childbirth cry out to her for relief from their pains. ",life,"water, nature, sea, child, birth, river, wave",secondary,Codex Borbonicus,"Ahuic, Acuecueyotl, Acuecueyotlcihuatl",Chalchiuhtlicue
acxomocuil,Acxomocuil,"God of merchants, pulque and sex. Like Tezcatlipoca, he's represented with a snake in place of his foot.","spiritual expansion, material expansion","trade, wine, alcohol, sex",secondary,Codex Fejervary-Mayer,Xomocuil,"Tezcatlipoca, Yacatecuhtli"
ahkinshok,Ahkinshok,"Guardian of the Bees, Owner of the days or Spirit of the new fire. Linked to the mayan god Xmulzencab.",life,"nature, animals, earth, bees, honey, food, fire, bee",secondary,Source unknown,"Xmulzencab, Ah-Muzen-Cab",Xiuhtecuhtli
ahuitzotl,Ahuitzotl,"Mix between an otter, a monkey and a dog. He was feared due to his liking of human flesh, especially nails, eyes and teeth. He used the hand on his tail to drown fishermen.","death, life","water, nature, monster, dog, monkey, animal, beaver, otter",secondary,Codex Mendoza,,Tlaloc
amapan,Amapan,"Patron deity of tlachtli, an Aztec game where the ball represented the sun. Servant of Huitzilopochtli, Amapan is also associated with warfare.","material expansion, spiritual expansion","pleasure, war, game, ball",secondary,Codex Borgia,,Huitzilopochtli
amimitl,Amimitl,"Patron deity of the Otomi's city of Cuitlahuac, he's a minor god of lakes and fish hunters and aspect of Mixcoatl.","material expansion, life","water, hunting, fish, fishing, food, lake",secondary,Primeros Memoriales,"Amhimitl, Opochtli","Opochtli, Mixcoatl, Huitzilopochtli, Yacatecuhtli"
atlacoya ,Atlacoya ,"Goddess of drought and barren land, associated with the worship of pulque. She represents austerity and despair.",death,"water, death, pulque, alcohol, fertility, drought, despair, austerity",secondary,Codex Telleriano Remensis,Atlcahualo,Chalchiuhtlicue
atlaua,Atlaua,Minor god of the domesticated aquatic fowl who protects fishermen and archers. His nahual is the quetzal bird.,"material expansion, life","water, hunting, sacrifice, south, fish, arrows, weapon, death, fishermen, bow",secondary,Florentine Codex,"Atlahua, Ahtlahuah","Quetzalcoatl, Tlaloc, Mixcoatl"
azcatl,Azcatl,"Red ant which helped Quetzalcoatl to gather maize, hidden inside a mountain, to feed the gods and humankind.","life, spiritual expansion","nature, animals, fertility, ant, food, maize, earth, animal",secondary,Source unknown,,
camaxtli,Camaxtli,"Tlaxcaltec creator god of hunting, war, fire, fate and hope. His cult merged with Huitzilopochtli.","material expansion, life","war, hunting, fire, fate, hope, sun, primordial, celestial, night",secondary,Codex Ramirez,"Yemaxtli, Tlaclau-queteztzatlipuca, Camaxtle, Tlatlauhca","Mixcoatl, Xipe Totec, Huitzilopochtli"
ce_calli,Ce Calli,"One of the Cihuateteo, the warriors spirits of women who died in childbirth. They accompanied the sun from noon till sundown. Feared, they are also associated with lust and filth.","life, death, spiritual expansion","child, death, birth, spirits, west, fertility, lust, excess",secondary,Codex Aubin,,"Coatlicue, Tlaltecuhtli"
ce_cuauhtli,Ce Cuauhtli,"One of the Cihuateteo, the warriors spirits of women who died in childbirth. They accompanied the sun from noon till sundown. Much feared, they are also associated with lust and filth.","life, death, spiritual expansion","child, death, birth, spirits, west, fertility, lust, excess",secondary,Codex Aubin,,"Coatlicue, Tlaltecuhtli"
ce_mazatl,Ce Mazatl,"One of the Cihuateteo, the warriors spirits of women who died in childbirth. They accompanied the sun from noon till sundown. Much feared, they are also associated with lust and filth.","life, death, spiritual expansion","child, death, birth, spirits, west, fertility, lust, excess",secondary,Codex Aubin,,"Coatlicue, Tlaltecuhtli, Xochiquetzal"
ce_ozomatli,Ce Ozomatli,"One of the Cihuateteo, the warriors spirits of women who died in childbirth. They accompanied the sun from noon till sundown. Feared, they are also associated with lust and filth.","life, death, spiritual expansion","child, death, birth, spirits, west, fertility, lust, excess",secondary,Codex Aubin,,"Coatlicue, Tlaltecuhtli"
ce_quiahuitl,Ce Quiahuitl,"One of the Cihuateteo, the warriors spirits of women who died in childbirth. They accompanied the sun from noon till sundown. Much feared, they are also associated with lust and filth.","life, death, spiritual expansion","child, death, birth, spirits, west, fertility, lust, excess",secondary,Codex Aubin,,"Coatlicue, Tlaltecuhtli"
centeotl,Centeotl,"Olmec, Totonac and Mayan god of fertility. Gender-fluid entity revered by maize farmers and midwives.",life,"fertility, maize, medecine, birth, food, alcohol, pulque, celestial, dance, music, excess, art, sport, fun, herbs, trade",secondary,Codex Borgia,"Cinteotl, Centeocihuatl, Centeal, Centeotltecutli, Cexochitl, Icnopiltzin, Tlatlauhquicenteotl, Tonacajoha, Tonacayohua, Tzinteotl, Xoxouhquicenteotl, Civeles, Temazcalteci. ToNantzin, Cinteotle, Centeocihuati, Cinteotlcihuatl, CintÃ©otltecuhtli, Cinteohuatl, Cintecutli, Iztaccenteotl","Tlaloc, Chicomecoatl, Quetzalcoatl, Xipe Totec, Chalchiuhtlicue, Tonatiuh, Xilonen, Xochipilli, Yacatecuhtli"
centzon_huitznahua,Centzon Huitznahua,"Southern star gods. With Coyolxauhqui, their sister, they tried to kill their mother, Coatlicue. Huitzilipochtli massacred them, symbolizing the sunrise and the disappearance of the stars.","life, death","celestial, star, moon, sun, night, south, sunrise",secondary,Florentine Codex,"Centzon Huitznauhtin, Centzonuitznaua, Centzon Huitznahuac, Centzonhuitznahua, Cuahuitlicac, Quauitlicac",
chalchiuhtecolotl ,Chalchiuhtecolotl ,"Night owl god with fire eyes. Associated with magic and sorcery, he's an aspect or nahual of Tezcatlipoca.","spiritual expansion, death","death, night, animals, magic, sorcery, owl",secondary,Codex Laud,"Tlacatecolotl, Techlotl ","Tezcatlipoca, Mictlantecuhtli "
chalchiuhtlatonac ,Chalchiuhtlatonac ,"Aspect of the water goddess Chalchiuitlicue, which means â€œShe who shines like jade.â€ She's also a protector for midwives.",life,"water, fertility, sea, birth",secondary,Codex Vaticanus,,"Xochipilli, Chalchiuhtlicue"
chalchiuhtlicue,Chalchiuhtlicue,"Goddess of water, especially running streams, lakes and ocean. Married to Tlaloc (who control the rain from the sky), she's also a patron of birth.",life,"nature, fertility, water, rain, storm, birth, travel, sea, trade, lake, ocean",secondary,Codex Borbonicus,"Chalciuhtlicue, Chalchihuitlicue, Chalchiuhcueyeh, Chalchihcueye, Xalxitlikue, Xoxouhqui Ihuipil, Xoxouhqui Icue, Chalchiuh Tlatonac, ChicomecÃ³atl, Chalchiuhicueye, Chalchiuhtlicue, Atl, Matlalcueye, Xixiquipilihui, Matlolcueitl, Chalchiuhtlatonac ","Matlalcueitl, Itzaccihuatl, Acuecucyoticihuati, Centeotl, Yohualticitl, Xilonen, Huixtocihuatl, Ayauhteotl, Atlacoya, Chicomecoatl, Chalchiuhtlatonac, Coatlicue, Tzapatlan Tenen"
chalchiutotolin,Chalchiutotolin,"God of pestilence, disease, disorder, chaos and mystery. This aspect of Tezcatlipoca, depicted as a turkey, cleanses humans of contamination, absolves them of guilt, and helps them to overcome their fate.","life, spiritual expansion, death","illness, death, disorder, chaos, fate, magic, disease, destruction, evil, animal, guilt",secondary,Codex Borgia,Chalchihuihtotolin,Tezcatlipoca
chalmecacihuatl ,Chalmecacihuatl ,Minor goddess of the underworld and sacrifices and wife of Tzontemoc or Chalmecatecuhtli. She can be depicted as a massive snake guarding the Mictlan.,death,"death, underworld, sacrifice, snake, animal",secondary,Codex Aubin,"Chalmecacihuilt, Chalmeccacihuatl, Chalmecatl, Chalmecatecuchtli, Chachalmecacihuatl, Chalmeca ciuatl","Mictlancihuatl, Tlazolteotl, Omecihuatl"
chalmecatecuhtli,Chalmecatecuhtli,"God of sacrifice, ruler of one of the nine levels of the underworld. He is closely related to Mictlantecuhtli.",death,"death, underworld, sacrifice",secondary,Codex Aubin,,"Ometecuhtli, Mictlantecuhtli,"
chantico,Chantico,"Goddess of hearth, volcanic fires and personal treasure, she's also a patron of goldsmiths. She was transformed into a dog by Tonacatecuhtli for breaking fast during a religious celebration.","material expansion, life","nature, fertility, war, fire, gold, trade, animal, hearth, volcano, craft, dog",secondary,Codex Borgia,"Chicomexochitl, Chalchiuhcihuatl, Xantico","Coatlicue, Chiconahui Itzcuintli, Cuaxolotl, Quilaztli"
chicomecoatl ,Chicomecoatl ,"Depicted as a young girl, she's a goddess of nourishment and agriculture, especially maize and peas.",life,"fertility, maize, food, wealth, sacrifice, agriculture",secondary,Codex Fejervary-Mayer,"Chiutcoatl, Chicomeccatl, Chicomexochitl, or Chalchiuhcihuatl, Xilonen, Chicomolotzin, Chicomecohuati, Chicome Coatl","Centeotl, Xilonen, Chalchiuhtlicue, Ilamacihuatl, Yohualticitl"
chicome_xochitl,Chicome Xochitl,"Nagual of Xochipilli and god of writing, painting and song, as well as of hallucinogenic plants.",spiritual expansion,"writing, painting, song, art, plants, drugs",secondary,Codex Fejervary-Mayer,chicomexochitl,Xochipilli
chiconahui_ehecatl,Chiconahui Ehecatl,"Creator god of minor importance, similar to the four Tezcatlipocas. Second sun in the aztec cosmology, nagual of Ehecatl. ",life,"primordial, creation, sun, wind",secondary,Codex Borbonicus,"Chiucnahui Eecatl, Chiconahuiehecatl, Nahui Ehecatl","Tezcatlipoca, Quetzalcoatl, Huitzilopochtli, Xipe Totec, Ehecatl"
chiconahui_itzcuintli,Chiconahui Itzcuintli,"Goddess of gem makers, associated with Chantico and Xiuhtecuhtli.",material expansion,"lapidary, stone, death, craft, gem maker",secondary,Codex Telleriano Remensis,"Tloxipeuhca, Chicoahui Itzcuintli-Chantico, Chiucnahui itzcuintli, Tlappapalo, Papaloxahual","Chantico, Yacatecuhtli"
chimalma,Chimalma,"Fertility goddess, patron of life and death. She's one of the mother of Quetzalcoatl and wife of Mixcoatl who accompanied the Azteca from Aztlan.","life, death","fertility, life, death, rebirth, birth, primordial, youth, purity",secondary,Codex Laud,"Chimalman, Chimamatl",Coatlicue
cihuapipiltzin,Cihuapipiltzin,Goddess who watches over crossroads and attacks men. Embodiment of women who die in childbirth. ,"death, life","death, child, travel, minor, birth, monster",secondary,Primeros Memoriales,"Cihuapipiltin, Cihuapilli",
cihuateteo,Cihuateteo (group of divinity. I'll switch it with the 5 goddess),"Spirits of high-ranking women who've died during childbirth. They accompanied the sun from noon till sundown. Feared, they are also associated with lust and filth.",,"child, death, birth, spirits, west, fertility, lust excess",secondary,Codex Borgia,"Cituateteo, Civatateo, Chiuateteto, Cihuapipiltin, Cihuateteoh",Coatlicue
cipactli,Cipactli,"Primordial earth, symbolised by a monstruous caiman. Tezcatlipoca and Quetzalcoatl dismembered it to create the earth and sky. It's also a guardian of one of the levels of Mictlan.",death,"earth, animal, primordial, monster, underworld, death, dark",secondary,Codex Borgia,Xochitonal,Tlaltecuhtli
cipactonal,Cipactonal,"First man of the fifth sun created by Quetzalcoatl. Inventor of astrology and calendars, he also represents the sun.","spiritual expansion, life","celestial, science, magic, primordial, time, food, fertility, astrology, sun, day, sky, calendar",secondary,Codex Borbonicus,"Icozauqui, Cipactli","Ometecuhtli, Ometeotl"
citlalatonac,Citlalatonac,"Creator of the stars who lives in the second level of Aztec heaven with his consort, Citlaticue. ",life,"celestial, primordial, star, night, sky",secondary,Codex Fejervary-Mayer,,"Ometecuhtli, Ometeotl"
citlalicue,Citlalicue,"Creator goddess of the Milky Way, stars, death, darkness and Earth. Lives in the second level of Aztec heaven with Citlalatonac.","life, death","celestial, primordial, night, star, earth, death, dark",secondary,Codex Borbonicus,"Citlalinicue, Citlalmina","Omecihuatl, Ometeotl "
citlatepetl,Citlatepetl,"Jealous lover of Iztaccihuatl, who told her that Popocatepetl, her true love, had died in battle. He became a volcano, known as Pico de Orizaba, to witness their love for eternity.",spiritual expansion,"mountain, volcano, love, jealousy",secondary,Codex Nuttal,,
coatlicue,Coatlicue,"Creator goddess of earth, fire, stars of the southern sky and birth. Depicted as a woman wearing a skirt of snakes, with sharp claws, as she was thirsty for sacrifices. Mother of Huitzilopochtli, she's also the inspiration of the â€œweeping womanâ€ in Mexican folklore.","material expansion, life, death","fertility, nature, fire, earth, celestial, death, primordial, rebirth, sacrifice, trade, war, child, birth, violence, moon, celestial, midwives, purity, stars, blood",secondary,Statue displayed in National Anthropology Museum in Mexico City,"Llamateuctli, Coatlantonan, Koatlikueitl, TÄ“teoh Ä«nnÄn, Teteto Inan, Toci, Cihuacoatl, Tonantzin, Yohuatlicue, Chihucoatl, Ciucoatl, Chiuacoatl, Quilaztli, Huitzilincuatec, Tititl, Yaocihuatl, Tonantzin, Toci, Teteto Innan, Coatlicue, Quilaztli, Coacihuatl, Coatlan Tenan, Cuauhcihuatl, Tzitzimicihuatl, Cihuacohuatl, Cuaucihuatl, Teoyaominqui, Teoyaotlatohua, Teoyaomqui, Chicomexochitl ou Chalchiuhcihuatl","Ilamacihuatl, Itzaccihuatl, Huixtocihuatl, Chalchiuhtlicue, Quilaztli, Ixnextli, Ilancueye, Tlazolteotl, Mayahuel, Xilonen, Chimalma, Itzpapalotl, Xochiquetzal, Omecihuatl, Coyolxauhqui, Teteo Innan, Ce Calli, Ce Cuauhtli, Ce Mazatl, Ce Ozomatli, Chantico, Ilancueye, Ixnextli, Ometeotl"
coyolxauhqui,Coyolxauhqui,"Earth goddess who tried to kill Coatlicue. Her head was tossed in the sky by his brother, Huitzilopochtli, and became the moon, which represent cowardice for Aztecs.",life,"celestial, earth, star, moon",secondary,Stone displayed in Templo Mayor Museum in Mexico City,Coyolxanuhqui ,"Tlazolteotl, Coatlicue, Metztli, Tecciztecatl"
coyotlinaual,Coyotlinaual,"God of featherworks, also called Amantecas. Heâ€™s linked with Huehuecoyotl, another trickster god.","spiritual expansion, life, material expansion","craft, art, trade, feather, trickster, coyote, animal",secondary,Codex Borgia,"Coyotlinahual, Coyotl Inahual","Xiuhtecuhtli, Yacatecuhtli, Huehuecoyotl "